,0,1,2,3
0,"
                                        2060200
                                    ","
                                        SHIV SHAKTI MODERN SCHOOL, BEHRAMPUR ROAD, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
1,"
                                        2060201
                                    ","
                                        GURU RAMDAS ACADEMY, RIALI KALAN, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
2,"
                                        2060210
                                    ","
                                        MOUNT EVEREST HIGH SCHOOL, TIBBER, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
3,"
                                        2060222
                                    ","
                                        SHRI GURU HARKRISHAN PUBLIC SCHOOL, NASARKE, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
4,"
                                        2060223
                                    ","
                                        SHRI YOGI RAJ BHAGWAN NARAYAN SCHOOL, DARBAR PANDORI, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
5,"
                                        2060224
                                    ","
                                        BABA ZORAWAR SINGH FATEH SINGH MODERN SCHOOL, KOT JOGRAJ, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
6,"
                                        2060236
                                    ","
                                        KHALSA MADERN SENIOR SECONDARY SCHOOL, BAHADERPUR RAJOA, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
7,"
                                        2060237
                                    ","
                                        SHREE GURU TEG BHADUR MODERN SCHOOL, WARIAH, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
8,"
                                        2060238
                                    ","
                                        GURU RAMDASS PUBLIC SCHOOL, BHAM, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
9,"
                                        2060264
                                    ","
                                        NATIONAL PROGRESSIVE SCHOOL, LAKHORA, GURDASPUR
                                    ","
                                        ASSOCIATED SCHOOL
                                    ","
View Contact Details
"
10,"
Previous
Next

                                
               $('#btnPrevious').removeAttr('href');
               $(""#btnPrevious"").css(""color"", ""Gray"");

                   $(""#btnNext"").attr(""disabled"");
                                        


",,,
